ID_CZAS;ID_MIEJSCE;ID_ZMIENNA;ID_JEDNOSTKA_MIARY;WARTOŚĆ;id_czas_pk;rok;kwartal;kwartal_nazwa;miesiac;miesiac_nazwa;id_jednostka_miary_pk;nazwa_jednostki_miary;symbol_jednostki_miary;opis_jednostki_miary;mnoznik_jednostki_miary;id_miejsce_pk;region;odcinek_granicy;przejście_graniczne;id_zmienna_pk;nazwa_zmiennej;rodzaj_zmiennej;opis
102;1;1;1;20 923;102;2024;1;Kwartał I;2;luty ;1;sztuka;szt.;liczba pojazdów;1;1;południowo-wschodni;Ukraina;Budomierz – Hruszew;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;2;1;1;16 636;102;2024;1;Kwartał I;2;luty ;1;sztuka;szt.;liczba pojazdów;1;2;południowo-wschodni;Ukraina;Dołhobyczów – Uhrynów;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;3;1;1;15 230;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;3;południowo-wschodni;Ukraina;Dorohusk – Jagodzin;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;4;1;1;34 148;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;4;południowo-wschodni;Ukraina;Hrebenne – Rawa Ruska;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;5;1;1;61 085;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;5;południowo-wschodni;Ukraina;Korczowa – Krakowiec;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;6;1;1;14 476;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;6;południowo-wschodni;Ukraina;Krościenko – Smolnica;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;7;1;1;5 719;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;7;południowo-wschodni;Ukraina;Malhowice – Niżankowice;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;8;1;1;56 591;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;8;południowo-wschodni;Ukraina;Medyka – Szeginie;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;9;1;1;24 252;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;9;południowo-wschodni;Ukraina;Zosin – Ustiług;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;10;1;1;0;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;10;wschodni;Białoruś;Bobrowniki – Bierestowica;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;11;1;1;44 044;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;11;wschodni;Białoruś;Kukuryki – Kozłowiczy;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;12;1;1;0;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;12;wschodni;Białoruś;Kuźnica – Bruzgi;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;13;1;1;0;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;13;wschodni;Białoruś;Lipszczany – Sofijewo *);1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;14;1;1;0;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;14;wschodni;Białoruś;Połowce – Pieszczatka;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;15;1;1;0;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;15;wschodni;Białoruś;Sławatycze – Domaczewo;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;16;1;1;45 809;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;16;wschodni;Białoruś;Terespol – Brześć;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;17;1;1;2 237;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;17;północny;Rosja;Bezledy – Bagrationowsk;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;18;1;1;0;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;18;północny;Rosja;Gołdap – Gusiew;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;19;1;1;0;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;19;północny;Rosja;Gronowo – Mamonowo;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;20;1;1;15 587;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;20;północny;Rosja;Grzechotki – Mamonowo II;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
102;21;1;1;0;102;2024;1;Kwartał I;2;luty;1;sztuka;szt.;liczba pojazdów;1;21;północny;Rosja;Michałkowo – Żeleznodorożnyj ;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;1;1;1;24 763;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;1;południowo-wschodni;Ukraina;Budomierz – Hruszew;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;2;1;1;16 960;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;2;południowo-wschodni;Ukraina;Dołhobyczów – Uhrynów;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;3;1;1;5 023;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;3;południowo-wschodni;Ukraina;Dorohusk – Jagodzin;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;4;1;1;37 696;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;4;południowo-wschodni;Ukraina;Hrebenne – Rawa Ruska;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;5;1;1;73 147;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;5;południowo-wschodni;Ukraina;Korczowa – Krakowiec;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;6;1;1;16 886;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;6;południowo-wschodni;Ukraina;Krościenko – Smolnica;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;7;1;1;6 719;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;7;południowo-wschodni;Ukraina;Malhowice – Niżankowice;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;8;1;1;67 635;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;8;południowo-wschodni;Ukraina;Medyka – Szeginie;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;9;1;1;29 075;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;9;południowo-wschodni;Ukraina;Zosin – Ustiług;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;10;1;1;0;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;10;wschodni;Białoruś;Bobrowniki – Bierestowica;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;11;1;1;45 431;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;11;wschodni;Białoruś;Kukuryki – Kozłowiczy;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;12;1;1;0;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;12;wschodni;Białoruś;Kuźnica – Bruzgi;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;13;1;1;0;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;13;wschodni;Białoruś;Lipszczany – Sofijewo *);1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;14;1;1;0;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;14;wschodni;Białoruś;Połowce – Pieszczatka;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;15;1;1;0;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;15;wschodni;Białoruś;Sławatycze – Domaczewo;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;16;1;1;46 675;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;16;wschodni;Białoruś;Terespol – Brześć;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;17;1;1;4 079;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;17;północny;Rosja;Bezledy – Bagrationowsk;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;18;1;1;0;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;18;północny;Rosja;Gołdap – Gusiew;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;19;1;1;0;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;19;północny;Rosja;Gronowo – Mamonowo;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;20;1;1;15 943;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;20;północny;Rosja;Grzechotki – Mamonowo II;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
103;21;1;1;0;103;2024;1;Kwartał I;3;marzec;1;sztuka;szt.;liczba pojazdów;1;21;północny;Rosja;Michałkowo – Żeleznodorożnyj ;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;1;1;1;24 273;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;1;południowo-wschodni;Ukraina;Budomierz – Hruszew;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;2;1;1;18 857;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;2;południowo-wschodni;Ukraina;Dołhobyczów – Uhrynów;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;3;1;1;14 988;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;3;południowo-wschodni;Ukraina;Dorohusk – Jagodzin;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
